struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
12,35,37,J36,37,100.0,8.544857319490829
12,11,37,J36,41,100.0,46.317854718540474
12,12,36,J35,37,100.0,82.76718241082826
12,47,35,J34,36,100.0,5.858511698640055
12,53,35,J34,36,100.0,5.858511698640055
12,43,35,J34,35,100.0,6.204727316636294
12,65,35,J34,35,100.0,6.204727316636294
12,18,35,J34,35,100.0,9.306845714454724
12,33,35,J34,35,100.0,9.306845714454724
12,40,35,J34,36,100.0,75.91961894051408
16,72,35,J34,45,100.0,15.090888838958316
16,85,35,J34,41,100.0,25.598803948814766
16,80,33,J32,34,100.0,1.6304354657033875
16,61,33,J32,39,100.0,1.630435465703388
10,9,32,J31,40,100.0,22.08213618772616
10,20,32,J31,41,100.0,22.08213618772616
10,8,32,J31,55,100.0,26.31745402399352
10,12,32,J31,57,100.0,36.25243523008783
10,27,32,J31,33,100.0,43.84491374087997
11,12,32,J31,67,100.0,0.5171852478775975
11,14,32,J31,67,100.0,0.5171852478775975
11,9,32,J31,65,100.0,28.55341855517851
11,8,32,J31,67,100.0,30.90068809436107
11,10,32,J31,67,100.0,47.45756539203808
12,17,32,J31,52,100.0,0.5171852478775975
12,45,32,J31,36,100.0,0.5171852478775975
12,61,32,J31,36,100.0,0.5171852478775975
12,44,32,J31,38,100.0,3.98417963774131
12,42,32,J31,34,100.0,28.55341855517851
12,60,32,J31,38,100.0,59.45902695035138
12,28,32,J31,47,100.0,65.71116315249087
14,18,32,J31,57,100.0,9.740636725021476
14,27,32,J31,57,100.0,9.740636725021476
15,17,32,J31,74,100.0,5.292355314264722
15,29,32,J31,74,100.0,5.292355314264722
15,39,32,J31,52,100.0,43.62049352875121
15,41,32,J31,49,100.0,120.20250289216682
15,31,32,J31,50,100.0,127.45294071719904
16,60,32,J31,48,100.0,12.198369254434745
10,10,31,J30,31,100.0,49.92304037797334
12,57,31,J30,34,100.0,25.798350442643553
12,21,31,J30,42,100.0,29.335444073478175
16,59,31,J30,39,100.0,3.9841796377413097
16,76,31,J30,35,100.0,57.10683711035703
16,32,31,J30,51,100.0,62.53097069084837
16,67,31,J30,42,100.0,68.12710956049689
12,50,30,J29,30,100.0,33.254576244521836
16,82,30,J29,39,100.0,3.9841796377413097
16,64,30,J29,35,100.0,9.74063672502148
16,83,25,J24,25,100.0,11.354518260082815
8,7,24,J23,34,100.0,12.169735992934504
9,8,24,J23,46,100.0,21.424587528701554
9,7,24,J23,50,100.0,22.08213618772616
9,13,24,J23,43,100.0,26.053153034848037
10,14,24,J23,57,100.0,3.1554436208840472e-30
10,19,24,J23,57,100.0,3.1554436208840472e-30
15,27,24,J23,47,100.0,3.441117827339306
15,24,24,J23,64,100.0,9.740636725021476
15,35,24,J23,64,100.0,9.740636725021476
8,8,23,J22,23,100.0,21.90209575263496
8,10,22,J21,33,100.0,17.181282553409503
12,24,22,J21,29,100.0,12.856050119179846
16,77,22,J21,24,100.0,40.68996233356099
16,35,22,J21,35,100.0,46.123283280908346
16,78,22,J21,27,100.0,46.123283280908346
8,19,21,J20,22,100.0,17.198900295095708
12,58,21,J20,24,100.0,9.306845714454724
12,63,21,J20,24,100.0,9.306845714454724
12,67,21,J20,22,100.0,11.354518260082815
12,34,21,J20,29,100.0,12.856050119179846
12,48,21,J20,22,100.0,12.856050119179846
12,59,21,J20,22,100.0,12.856050119179846
12,46,21,J20,24,100.0,15.338697897824124
12,66,21,J20,24,100.0,15.338697897824124
16,88,21,J20,22,100.0,7.792509380017187
16,81,21,J20,24,100.0,40.68996233356099
16,87,21,J20,23,100.0,45.41807304033126
16,48,21,J20,35,100.0,46.123283280908346
16,65,21,J20,27,100.0,46.123283280908346
16,63,21,J20,28,100.0,51.18137100443548
16,86,21,J20,28,100.0,51.18137100443548
16,73,21,J20,30,100.0,57.10683711035705
6,8,20,J19,23,100.0,7.669348948912062
6,5,20,J19,22,100.0,9.580578651863577
7,6,20,J19,41,100.0,10.17813509486208
7,5,20,J19,41,100.0,23.977530910180022
8,11,20,J19,34,100.0,2.8844258296450067
8,13,20,J19,22,100.0,18.25460398940176
8,6,20,J19,35,100.0,35.375363290406845
9,9,20,J19,50,100.0,4.622996556267744
9,12,20,J19,50,100.0,4.622996556267744
9,6,20,J19,46,100.0,54.25491918408054
10,28,20,J19,31,100.0,0.6327656155140908
10,15,20,J19,31,100.0,1.722014707475612
10,23,20,J19,31,100.0,1.722014707475612
10,17,20,J19,29,100.0,2.294078551559535
10,13,20,J19,56,100.0,10.258601139514338
10,16,20,J19,56,100.0,10.258601139514338
10,21,20,J19,32,100.0,39.85440454733456
10,24,20,J19,32,100.0,39.85440454733456
10,7,20,J19,56,100.0,74.69149645085501
11,11,20,J19,67,100.0,13.882718686179656
11,13,20,J19,67,100.0,13.882718686179656
11,7,20,J19,65,100.0,103.69531543153933
12,29,20,J19,56,100.0,10.561707156179317
12,52,20,J19,22,100.0,13.648596811642358
12,22,20,J19,53,100.0,13.770051925876977
12,27,20,J19,53,100.0,13.770051925876977
12,15,20,J19,49,100.0,22.32588420763277
12,20,20,J19,49,100.0,22.32588420763277
12,31,20,J19,36,100.0,71.56822738783622
12,51,20,J19,31,100.0,78.34993581005443
12,8,20,J19,53,100.0,126.45556113662401
13,13,20,J19,77,100.0,32.01702670868507
13,16,20,J19,77,100.0,32.01702670868507
13,8,20,J19,68,100.0,165.85951425830834
14,24,20,J19,29,100.0,0.0
14,33,20,J19,29,100.0,0.0
14,23,20,J19,78,100.0,16.118723305493543
14,28,20,J19,78,100.0,16.118723305493543
14,17,20,J19,56,100.0,37.23913750975394
14,22,20,J19,56,100.0,37.23913750975394
14,39,20,J19,45,100.0,121.2604860629988
14,43,20,J19,45,100.0,121.2604860629988
14,9,20,J19,69,100.0,198.43834522797556
15,40,20,J19,49,100.0,6.626407553312542
15,22,20,J19,76,100.0,18.25460398940176
15,32,20,J19,78,100.0,30.436926736556114
15,36,20,J19,78,100.0,30.436926736556114
15,26,20,J19,71,100.0,35.32921141692906
15,15,20,J19,78,100.0,54.116130991619904
15,20,20,J19,78,100.0,54.116130991619904
15,9,20,J19,69,100.0,240.2120338976447
16,69,20,J19,65,100.0,22.432285446291242
16,26,20,J19,73,100.0,23.95134071800186
16,31,20,J19,73,100.0,23.95134071800186
16,43,20,J19,77,100.0,30.18012205914228
16,19,20,J19,78,100.0,66.2012455754382
16,25,20,J19,78,100.0,66.2012455754382
16,68,20,J19,45,100.0,174.90593100436138
16,45,20,J19,49,100.0,182.81059689937908
16,10,20,J19,69,100.0,282.94409290805845
6,14,19,J18,19,100.0,6.09918462721737
6,9,17,J16,18,100.0,2.884425829645006
6,11,17,J16,18,100.0,2.884425829645006
8,24,17,J16,18,100.0,13.648596811642362
