struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
12,13,22,J21,161,100.0,173.2410982716132
12,37,22,J21,90,100.0,237.20558866426668
12,6,22,J21,96,100.0,245.69655935512696
12,1,22,J21,131,100.0,599.7969791395667
13,5,22,J21,182,100.0,76.6840197994508
13,3,22,J21,199,100.0,86.70668396926595
13,4,22,J21,199,100.0,86.70668396926595
13,2,22,J21,195,100.0,213.4237552709294
13,6,22,J21,198,100.0,213.4237552709294
13,1,22,J21,131,100.0,726.6153563520016
14,4,22,J21,200,100.0,94.94181192647159
14,26,22,J21,200,100.0,94.94181192647159
14,3,22,J21,200,100.0,104.18352701442201
14,5,22,J21,200,100.0,104.18352701442201
14,6,22,J21,200,100.0,135.87855926415898
14,35,22,J21,200,100.0,135.87855926415898
14,2,22,J21,199,100.0,263.15408496490073
14,15,22,J21,200,100.0,263.15408496490073
14,45,22,J21,103,100.0,350.16063088534605
14,7,22,J21,103,100.0,359.04789480050675
14,1,22,J21,131,100.0,854.9148252054097
15,6,22,J21,200,100.0,100.01886032498685
15,33,22,J21,200,100.0,100.01886032498685
15,4,22,J21,200,100.0,110.1739619932203
15,38,22,J21,127,100.0,135.5460506652952
15,42,22,J21,127,100.0,135.5460506652952
15,3,22,J21,200,100.0,135.84350691388886
15,19,22,J21,200,100.0,135.84350691388886
15,5,22,J21,148,100.0,142.36765355196965
15,28,22,J21,149,100.0,142.36765355196965
15,2,22,J21,199,100.0,305.6080908728088
15,7,22,J21,200,100.0,305.6080908728088
15,1,22,J21,131,100.0,1004.4227148762947
16,74,22,J21,100,100.0,101.65953799897142
16,4,22,J21,156,100.0,106.00234165143176
16,29,22,J21,156,100.0,106.00234165143176
16,6,22,J21,200,100.0,110.67106046384384
16,39,22,J21,200,100.0,110.67106046384384
16,53,22,J21,122,100.0,120.1764865218696
16,75,22,J21,122,100.0,120.1764865218696
16,3,22,J21,200,100.0,142.48360624042863
16,5,22,J21,200,100.0,142.48360624042863
16,52,22,J21,179,100.0,186.5420739642128
16,7,22,J21,198,100.0,201.60440126456766
16,2,22,J21,199,100.0,366.29415742017335
16,17,22,J21,200,100.0,366.29415742017335
16,51,22,J21,103,100.0,485.70668155064124
16,8,22,J21,103,100.0,494.8924877964535
16,1,22,J21,131,100.0,1155.2146881596843
3,2,19,J18,27,100.0,1.1410776473047388
4,6,19,J18,26,100.0,7.629488230936484
4,2,19,J18,30,100.0,14.591487934555802
4,5,19,J18,30,100.0,14.591487934555802
6,16,19,J18,49,100.0,33.88651266632382
6,10,19,J18,47,100.0,39.68299290167457
8,27,19,J18,48,100.0,0.6294768758945131
8,26,19,J18,56,100.0,79.06852955475554
8,14,19,J18,64,100.0,86.19241343507491
10,30,19,J18,83,100.0,146.84155488740313
10,22,19,J18,81,100.0,154.78163310793593
12,64,19,J18,90,100.0,237.20558866426668
12,32,19,J18,96,100.0,245.69655935512696
14,50,19,J18,103,100.0,350.16063088534605
14,40,19,J18,103,100.0,359.04789480050675
16,84,19,J18,103,100.0,485.70668155064124
16,46,19,J18,103,100.0,494.8924877964535
4,8,18,J17,25,100.0,3.8760042736572156
4,7,18,J17,22,100.0,11.295504222107935
8,28,18,J17,25,100.0,3.1554436208840472e-30
2,1,12,J11,13,99.5,1.9380021368286078
4,9,12,J11,13,100.0,0.0
2,0,11,J10,15,99.5,11.295504222107937
3,0,11,J10,25,100.0,45.18201688843175
4,0,11,J10,34,100.0,101.65953799897142
5,0,11,J10,44,100.0,180.7280675537269
6,0,11,J10,53,100.0,282.38760555269846
7,0,11,J10,61,100.0,406.6381519958857
8,0,11,J10,61,100.0,553.4797068832889
9,0,11,J10,61,100.0,722.9122702149081
10,0,11,J10,61,100.0,914.9358419907427
11,0,11,J10,61,100.0,1129.5504222107936
12,0,11,J10,61,100.0,1366.7560108750604
13,0,11,J10,61,100.0,1626.5526079835427
14,0,11,J10,61,100.0,1908.9402135362413
15,0,11,J10,61,100.0,2213.9188275331553
16,0,11,J10,61,100.0,2541.4884499742857
2,2,8,J7,9,95.5,0.0
1,0,4,J3,6,27.0,7.888609052210118e-31
